                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84847,                 1.2019,                0.98585,                 0.9933,                 0.9952,                0.99397,                0.83226,                0.63749,                0.49586,                0.90233,              0.0033315,              0.0033315,              0.0033315
                      2,                0.80012,                0.56965,                0.95691,                0.99548,                0.99793,                0.99402,                0.83734,                0.62365,                0.36579,                0.90758,              0.0066319,              0.0066319,              0.0066319
                      3,                0.81717,                0.50874,                0.97693,                0.99233,                0.98822,                0.99357,                0.83838,                0.63144,                0.36995,                0.92252,              0.0098992,              0.0098992,              0.0098992
                      4,                 0.7856,                0.46903,                0.97271,                0.99348,                0.99531,                0.99394,                0.85577,                0.61065,                0.31973,                0.91299,              0.0098515,              0.0098515,              0.0098515
                      5,                0.73277,                0.42271,                 0.9532,                0.99648,                0.99662,                0.99449,                0.87701,                0.55553,                0.28566,                0.89258,              0.0098515,              0.0098515,              0.0098515
                      6,                0.70464,                0.40002,                0.94437,                 0.9969,                0.99696,                0.99386,                0.88057,                0.53655,                0.26756,                0.88869,               0.009802,               0.009802,               0.009802
                      7,                 0.6827,                0.38311,                0.93346,                0.99633,                0.99631,                0.99419,                0.89131,                0.51332,                0.24806,                0.87889,              0.0097525,              0.0097525,              0.0097525
                      8,                0.67054,                0.37042,                0.92921,                0.99734,                0.99883,                0.99434,                0.89541,                 0.5058,                0.24226,                0.87431,               0.009703,               0.009703,               0.009703
                      9,                0.66282,                0.36109,                0.92834,                0.99615,                0.99828,                0.99408,                0.89832,                0.49414,                0.23361,                0.87033,              0.0096535,              0.0096535,              0.0096535
                     10,                0.64957,                0.35203,                 0.9229,                0.99795,                0.99848,                0.99436,                0.89838,                0.49178,                0.22737,                0.86948,               0.009604,               0.009604,               0.009604
                     11,                0.63896,                0.34571,                0.91897,                0.99777,                0.99841,                0.99426,                 0.9022,                0.48127,                0.22056,                0.86613,              0.0095545,              0.0095545,              0.0095545
                     12,                0.63155,                0.33958,                  0.917,                0.99792,                0.99844,                0.99434,                0.90748,                0.46986,                0.21543,                0.86167,               0.009505,               0.009505,               0.009505
                     13,                0.62941,                0.34031,                0.91368,                0.99762,                 0.9988,                0.99429,                0.90714,                 0.4662,                0.21166,                 0.8604,              0.0094555,              0.0094555,              0.0094555
                     14,                0.62205,                 0.3323,                0.91259,                0.99799,                  0.999,                0.99419,                0.91006,                0.46447,                0.20513,                 0.8603,               0.009406,               0.009406,               0.009406
                     15,                0.61907,                0.32996,                 0.9121,                0.99804,                0.99933,                0.99437,                0.91239,                0.45951,                0.20326,                 0.8583,              0.0093565,              0.0093565,              0.0093565
                     16,                0.61491,                0.32509,                 0.9106,                0.99842,                0.99933,                0.99432,                0.91329,                0.45436,                0.19985,                0.85678,               0.009307,               0.009307,               0.009307
                     17,                  0.609,                0.32292,                 0.9089,                0.99792,                0.99916,                0.99432,                0.91355,                 0.4529,                0.19872,                0.85589,              0.0092575,              0.0092575,              0.0092575
