                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95445,                 1.1793,                 1.0093,                0.99393,                 0.9933,                 0.9945,                0.78715,                0.84443,                 0.5086,                0.97126,              0.0033315,              0.0033315,              0.0033315
                      2,                 0.9414,                0.58693,                 1.0049,                0.99437,                0.98626,                0.99406,                0.79778,                 0.8359,                0.39735,                0.97071,              0.0066428,              0.0066428,              0.0066428
                      3,                0.95584,                0.53416,                 1.0228,                0.99373,                0.98463,                0.99338,                0.79401,                 0.8468,                0.41153,                0.98717,              0.0099322,              0.0099322,              0.0099322
                      4,                0.93588,                0.49996,                 1.0161,                0.99202,                0.99079,                0.99366,                0.80606,                  0.804,                0.36645,                0.96582,               0.009901,               0.009901,               0.009901
                      5,                 0.8934,                0.45981,                 0.9988,                0.99419,                0.99697,                0.99452,                0.82447,                0.77729,                0.32865,                0.95051,               0.009901,               0.009901,               0.009901
                      6,                0.87624,                0.43895,                0.99177,                0.99528,                0.99619,                0.99403,                0.82946,                0.76115,                 0.3183,                0.94345,               0.009868,               0.009868,               0.009868
                      7,                0.85307,                0.42012,                0.98232,                0.99606,                0.99792,                0.99425,                0.83786,                0.75512,                0.30146,                0.94143,               0.009835,               0.009835,               0.009835
                      8,                0.84106,                0.40767,                0.97687,                0.99724,                0.99781,                0.99439,                0.83914,                0.75416,                0.29527,                0.93646,               0.009802,               0.009802,               0.009802
                      9,                0.83499,                 0.4025,                0.97603,                 0.9975,                0.99793,                0.99452,                0.84567,                0.73089,                0.28405,                0.93047,               0.009769,               0.009769,               0.009769
                     10,                0.82978,                0.39611,                0.97192,                0.99735,                0.99845,                0.99418,                0.84773,                0.72915,                0.27819,                  0.928,               0.009736,               0.009736,               0.009736
                     11,                0.81929,                0.38822,                0.96917,                 0.9972,                0.99922,                0.99453,                0.84948,                0.72163,                0.27202,                0.92693,               0.009703,               0.009703,               0.009703
                     12,                0.80899,                0.38056,                0.96495,                0.99764,                0.99921,                0.99448,                0.85441,                0.71552,                0.26625,                0.92271,                0.00967,                0.00967,                0.00967
