                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84847,                 1.2019,                0.98585,                 0.9933,                 0.9952,                0.99397,                0.83226,                0.63749,                0.49586,                0.90233,              0.0033315,              0.0033315,              0.0033315
                      2,                0.79992,                0.56884,                0.95838,                0.99234,                0.99431,                0.99368,                0.84739,                0.62023,                0.36217,                0.91092,              0.0066428,              0.0066428,              0.0066428
                      3,                0.81497,                0.50488,                0.97592,                0.99151,                0.99187,                0.99367,                0.84333,                0.62195,                0.36186,                0.91898,              0.0099322,              0.0099322,              0.0099322
                      4,                0.78654,                0.46745,                0.97494,                0.98641,                0.98827,                0.99367,                0.85948,                0.59235,                0.33704,                0.90995,               0.009901,               0.009901,               0.009901
                      5,                0.73216,                0.42252,                0.95323,                0.99351,                0.99862,                0.99439,                 0.8725,                0.56038,                0.28675,                0.89411,               0.009901,               0.009901,               0.009901
                      6,                0.70499,                0.40004,                0.94443,                0.99629,                0.99651,                0.99414,                0.88264,                0.53625,                0.26619,                0.88769,               0.009868,               0.009868,               0.009868
                      7,                0.68602,                0.38371,                0.93478,                0.99694,                0.99767,                0.99413,                0.89696,                0.51121,                0.24981,                0.87842,               0.009835,               0.009835,               0.009835
                      8,                0.67166,                0.37027,                0.92974,                0.99757,                0.99841,                0.99431,                0.89744,                0.50346,                0.24088,                0.87201,               0.009802,               0.009802,               0.009802
                      9,                0.66346,                0.36264,                0.92875,                0.99811,                0.99815,                0.99415,                 0.9018,                0.49446,                0.23118,                0.86904,               0.009769,               0.009769,               0.009769
                     10,                0.65277,                0.35363,                0.92315,                0.99755,                0.99833,                0.99416,                0.89845,                0.49524,                0.23008,                0.87077,               0.009736,               0.009736,               0.009736
                     11,                0.63893,                0.34763,                0.91805,                0.99772,                0.99812,                0.99425,                 0.9025,                0.48344,                0.21988,                0.86572,               0.009703,               0.009703,               0.009703
                     12,                0.63353,                0.34111,                0.91635,                0.99746,                  0.999,                 0.9944,                0.90513,                 0.4764,                0.21605,                0.86359,                0.00967,                0.00967,                0.00967
                     13,                0.62879,                0.33986,                 0.9136,                0.99834,                  0.999,                 0.9944,                 0.9072,                0.47127,                0.21251,                0.86316,               0.009637,               0.009637,               0.009637
                     14,                0.62331,                0.33418,                0.91272,                0.99762,                0.99916,                0.99406,                0.90965,                0.46386,                0.20675,                0.85979,               0.009604,               0.009604,               0.009604
                     15,                0.62136,                0.33196,                0.91316,                0.99738,                0.99916,                0.99429,                 0.9099,                0.46354,                0.20335,                0.85957,               0.009571,               0.009571,               0.009571
                     16,                0.61666,                0.32726,                0.91056,                0.99833,                0.99878,                0.99416,                 0.9134,                0.45478,                0.20127,                0.85583,               0.009538,               0.009538,               0.009538
                     17,                0.61255,                0.32641,                0.90946,                0.99839,                0.99908,                0.99437,                0.91281,                 0.4546,                0.20088,                0.85664,               0.009505,               0.009505,               0.009505
                     18,                0.61148,                0.32456,                0.90823,                0.99839,                0.99882,                0.99424,                0.91387,                0.45434,                0.19873,                0.85619,               0.009472,               0.009472,               0.009472
                     19,                0.60964,                0.32198,                0.90933,                0.99802,                0.99873,                0.99426,                0.91574,                0.45051,                0.19431,                0.85555,               0.009439,               0.009439,               0.009439
                     20,                0.60512,                0.31891,                0.90618,                0.99793,                0.99911,                0.99425,                 0.9168,                0.44955,                0.19242,                0.85459,               0.009406,               0.009406,               0.009406
                     21,                0.59918,                0.31609,                0.90513,                0.99827,                  0.999,                0.99406,                0.91672,                0.44644,                 0.1914,                0.85331,               0.009373,               0.009373,               0.009373
                     22,                0.59847,                0.31391,                0.90353,                0.99812,                0.99883,                0.99417,                0.91724,                0.44536,                0.18943,                0.85255,                0.00934,                0.00934,                0.00934
                     23,                0.60089,                0.31603,                0.90512,                0.99818,                  0.999,                0.99424,                0.91658,                0.44329,                0.18847,                0.85206,               0.009307,               0.009307,               0.009307
                     24,                0.59885,                0.31474,                0.90458,                 0.9984,                  0.999,                0.99416,                0.91902,                 0.4406,                0.18671,                0.85184,               0.009274,               0.009274,               0.009274
                     25,                 0.5942,                0.31102,                0.90261,                0.99843,                0.99883,                0.99429,                0.91823,                0.43927,                0.18562,                0.85125,               0.009241,               0.009241,               0.009241
                     26,                0.59415,                 0.3097,                0.90337,                0.99842,                0.99883,                0.99431,                0.91819,                0.43878,                0.18451,                0.85053,               0.009208,               0.009208,               0.009208
                     27,                0.59035,                 0.3088,                0.90069,                0.99839,                0.99883,                 0.9943,                0.91831,                0.43832,                0.18435,                0.85038,               0.009175,               0.009175,               0.009175
                     28,                0.58939,                0.30833,                0.90125,                0.99839,                0.99883,                 0.9943,                0.91887,                0.43702,                0.18371,                0.84998,               0.009142,               0.009142,               0.009142
                     29,                0.58853,                0.30697,                0.90301,                0.99812,                0.99884,                0.99431,                0.91903,                0.43613,                0.18368,                0.84985,               0.009109,               0.009109,               0.009109
                     30,                0.58537,                0.30351,                 0.9011,                0.99809,                0.99885,                0.99432,                0.91969,                0.43577,                0.18237,                0.84985,               0.009076,               0.009076,               0.009076
                     31,                0.58555,                0.30505,                0.89907,                0.99807,                0.99886,                0.99432,                0.92008,                0.43509,                0.18185,                0.84968,               0.009043,               0.009043,               0.009043
                     32,                0.58319,                0.30374,                0.89846,                0.99807,                0.99887,                0.99432,                0.92108,                0.43447,                0.18112,                0.84965,                0.00901,                0.00901,                0.00901
                     33,                0.58472,                0.30356,                0.90016,                 0.9979,                0.99912,                0.99432,                0.92158,                0.43401,                 0.1807,                0.84953,               0.008977,               0.008977,               0.008977
                     34,                 0.5829,                  0.302,                0.89828,                0.99797,                0.99911,                0.99431,                0.92153,                0.43334,                0.17979,                0.84933,               0.008944,               0.008944,               0.008944
                     35,                0.58182,                0.30268,                0.89822,                0.99798,                0.99912,                 0.9943,                0.92151,                0.43286,                0.17944,                0.84917,               0.008911,               0.008911,               0.008911
                     36,                 0.5772,                0.29981,                0.89567,                0.99798,                0.99912,                0.99431,                 0.9209,                 0.4324,                0.17887,                0.84909,               0.008878,               0.008878,               0.008878
                     37,                0.57965,                0.30187,                 0.8985,                0.99828,                0.99894,                0.99431,                  0.921,                0.43205,                0.17866,                0.84896,               0.008845,               0.008845,               0.008845
                     38,                0.57897,                0.30047,                0.89758,                0.99828,                0.99884,                 0.9943,                0.92076,                0.43177,                0.17822,                0.84892,               0.008812,               0.008812,               0.008812
                     39,                0.57682,                0.29801,                0.89602,                0.99833,                0.99883,                 0.9943,                0.92104,                0.43152,                0.17804,                0.84885,               0.008779,               0.008779,               0.008779
                     40,                0.57259,                0.29523,                0.89551,                0.99831,                0.99883,                0.99427,                0.92141,                0.43117,                0.17803,                0.84876,               0.008746,               0.008746,               0.008746
                     41,                0.57292,                0.29528,                0.89551,                0.99827,                0.99883,                0.99428,                0.92108,                0.43077,                0.17779,                0.84862,               0.008713,               0.008713,               0.008713
                     42,                 0.5717,                0.29469,                0.89459,                0.99827,                0.99883,                0.99427,                0.92061,                0.43045,                0.17701,                 0.8484,                0.00868,                0.00868,                0.00868
                     43,                0.57418,                0.29587,                0.89616,                0.99835,                0.99883,                0.99427,                0.92133,                 0.4301,                0.17714,                0.84824,               0.008647,               0.008647,               0.008647
                     44,                0.57081,                0.29547,                0.89385,                0.99836,                0.99883,                0.99427,                0.92189,                0.43005,                0.17692,                0.84829,               0.008614,               0.008614,               0.008614
                     45,                0.56856,                0.29233,                0.89362,                0.99836,                0.99883,                0.99428,                0.92171,                0.42996,                0.17649,                0.84826,               0.008581,               0.008581,               0.008581
                     46,                0.57009,                0.29368,                0.89381,                0.99836,                0.99883,                0.99428,                0.92203,                0.42948,                0.17658,                0.84814,               0.008548,               0.008548,               0.008548
                     47,                0.57174,                 0.2938,                0.89395,                0.99836,                0.99883,                0.99429,                0.92232,                0.42928,                0.17631,                0.84806,               0.008515,               0.008515,               0.008515
                     48,                0.57185,                 0.2935,                0.89326,                0.99837,                0.99883,                0.99428,                0.92246,                0.42914,                 0.1764,                0.84803,               0.008482,               0.008482,               0.008482
                     49,                 0.5685,                0.29282,                0.89409,                0.99837,                0.99883,                0.99428,                0.92188,                0.42892,                0.17588,                 0.8479,               0.008449,               0.008449,               0.008449
                     50,                0.57029,                0.29299,                0.89343,                0.99838,                0.99883,                0.99429,                0.92203,                0.42874,                0.17582,                0.84793,               0.008416,               0.008416,               0.008416
                     51,                0.56572,                0.28969,                0.89321,                0.99837,                0.99883,                0.99427,                0.92178,                0.42851,                0.17558,                0.84781,               0.008383,               0.008383,               0.008383
                     52,                0.56633,                0.29179,                 0.8919,                0.99837,                0.99883,                0.99428,                0.92209,                 0.4282,                0.17572,                0.84775,                0.00835,                0.00835,                0.00835
                     53,                0.56641,                0.29109,                0.89224,                0.99837,                0.99883,                0.99428,                0.92246,                0.42789,                0.17576,                0.84754,               0.008317,               0.008317,               0.008317
                     54,                0.56423,                0.28848,                0.89251,                0.99836,                0.99883,                0.99428,                  0.923,                0.42756,                0.17568,                0.84744,               0.008284,               0.008284,               0.008284
                     55,                0.56211,                0.28888,                 0.8925,                0.99837,                0.99883,                0.99428,                0.92305,                0.42735,                0.17548,                0.84733,               0.008251,               0.008251,               0.008251
                     56,                0.56436,                0.28935,                0.89153,                0.99837,                0.99883,                0.99427,                0.92287,                0.42715,                0.17528,                0.84731,               0.008218,               0.008218,               0.008218
                     57,                0.56482,                0.29022,                0.89203,                0.99837,                0.99883,                0.99429,                0.92341,                0.42688,                0.17563,                0.84717,               0.008185,               0.008185,               0.008185
                     58,                0.56132,                0.28894,                 0.8919,                0.99838,                0.99883,                0.99429,                0.92309,                0.42665,                0.17549,                0.84709,               0.008152,               0.008152,               0.008152
                     59,                0.55979,                0.28747,                0.89062,                0.99838,                0.99883,                 0.9943,                0.92344,                0.42647,                0.17532,                0.84693,               0.008119,               0.008119,               0.008119
                     60,                0.56376,                0.28777,                0.89224,                0.99837,                0.99883,                 0.9943,                0.92363,                0.42632,                 0.1752,                0.84679,               0.008086,               0.008086,               0.008086
                     61,                   0.56,                0.28619,                0.89135,                0.99835,                0.99883,                0.99429,                0.92358,                0.42608,                0.17513,                0.84668,               0.008053,               0.008053,               0.008053
                     62,                0.56306,                 0.2873,                0.89188,                0.99835,                0.99883,                0.99431,                0.92404,                0.42581,                0.17483,                0.84647,                0.00802,                0.00802,                0.00802
                     63,                0.56029,                 0.2859,                0.89049,                0.99836,                0.99883,                 0.9943,                0.92408,                0.42544,                0.17466,                0.84631,               0.007987,               0.007987,               0.007987
                     64,                0.55978,                 0.2855,                0.89048,                0.99832,                0.99883,                0.99429,                0.92389,                0.42521,                0.17469,                0.84621,               0.007954,               0.007954,               0.007954
                     65,                0.55919,                0.28563,                0.89087,                0.99832,                0.99883,                 0.9943,                0.92422,                0.42496,                0.17455,                0.84609,               0.007921,               0.007921,               0.007921
                     66,                0.55924,                0.28524,                0.89137,                0.99829,                0.99883,                0.99431,                0.92425,                0.42458,                0.17438,                0.84596,               0.007888,               0.007888,               0.007888
                     67,                0.56326,                0.28815,                0.89342,                0.99834,                0.99883,                0.99431,                0.92468,                0.42443,                0.17421,                0.84596,               0.007855,               0.007855,               0.007855
                     68,                0.55866,                0.28474,                0.89103,                0.99836,                0.99883,                0.99431,                0.92427,                 0.4243,                0.17402,                0.84587,               0.007822,               0.007822,               0.007822
                     69,                0.56065,                0.28637,                0.89235,                0.99836,                0.99883,                 0.9943,                0.92445,                0.42408,                0.17431,                0.84575,               0.007789,               0.007789,               0.007789
                     70,                0.55365,                0.28307,                0.88917,                 0.9985,                0.99883,                 0.9943,                0.92433,                0.42387,                0.17391,                0.84557,               0.007756,               0.007756,               0.007756
                     71,                0.55561,                0.28388,                0.88855,                0.99855,                0.99883,                0.99431,                 0.9242,                0.42379,                0.17412,                0.84561,               0.007723,               0.007723,               0.007723
