                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95445,                 1.1793,                 1.0093,                0.99393,                 0.9933,                 0.9945,                0.78715,                0.84443,                 0.5086,                0.97126,              0.0033315,              0.0033315,              0.0033315
                      2,                0.94052,                0.58639,                 1.0051,                0.98086,                0.97951,                0.99261,                0.78971,                0.83882,                0.44049,                0.97947,              0.0065989,              0.0065989,              0.0065989
                      3,                0.95768,                0.53599,                 1.0238,                0.98636,                0.98061,                0.99394,                0.79613,                0.83082,                0.41007,                0.97949,              0.0098002,              0.0098002,              0.0098002
                      4,                0.93592,                0.50118,                 1.0161,                0.99368,                0.99061,                0.99373,                0.81886,                 0.8087,                 0.3631,                0.96639,               0.009703,               0.009703,               0.009703
                      5,                0.89356,                0.45885,                0.99871,                0.99581,                0.99694,                0.99436,                0.82916,                0.78818,                0.32954,                0.95076,               0.009703,               0.009703,               0.009703
                      6,                0.87323,                0.43496,                 0.9893,                0.99576,                0.99464,                0.99446,                0.82856,                0.76849,                0.31301,                0.94707,               0.009604,               0.009604,               0.009604
                      7,                0.85161,                0.41844,                0.98278,                0.99598,                0.99793,                0.99401,                0.84044,                0.75216,                0.30036,                0.93884,               0.009505,               0.009505,               0.009505
                      8,                0.83958,                0.40738,                0.97633,                0.99857,                0.99716,                0.99465,                0.83944,                0.75118,                0.29443,                0.93753,               0.009406,               0.009406,               0.009406
                      9,                0.83276,                0.39819,                0.97426,                 0.9979,                0.99795,                0.99452,                0.84758,                0.74346,                 0.2843,                0.93259,               0.009307,               0.009307,               0.009307
                     10,                0.82824,                0.39406,                0.97214,                0.99722,                0.99791,                0.99448,                0.84847,                 0.7237,                0.27749,                0.92756,               0.009208,               0.009208,               0.009208
                     11,                0.81748,                0.38549,                0.96818,                0.99801,                0.99861,                0.99408,                0.85229,                0.72012,                0.27163,                0.92589,               0.009109,               0.009109,               0.009109
                     12,                0.80732,                0.37856,                0.96354,                0.99701,                0.99718,                0.99419,                0.85308,                0.72072,                0.26997,                0.92525,                0.00901,                0.00901,                0.00901
                     13,                 0.8091,                0.38039,                0.96436,                0.99772,                0.99797,                0.99432,                0.85492,                0.71636,                0.26516,                 0.9232,               0.008911,               0.008911,               0.008911
                     14,                0.80017,                0.37299,                0.96204,                0.99713,                0.99909,                0.99442,                0.85823,                0.70505,                0.25646,                0.92032,               0.008812,               0.008812,               0.008812
                     15,                0.79828,                0.36837,                0.96139,                0.99821,                0.99845,                0.99436,                0.86043,                0.70433,                0.25487,                0.91966,               0.008713,               0.008713,               0.008713
                     16,                0.78816,                0.36364,                0.95925,                0.99862,                0.99836,                 0.9945,                0.85978,                0.70164,                0.25229,                 0.9183,               0.008614,               0.008614,               0.008614
                     17,                0.78961,                0.36383,                0.95735,                0.99756,                0.99967,                 0.9944,                0.86373,                0.69736,                0.24871,                0.91657,               0.008515,               0.008515,               0.008515
                     18,                0.78383,                0.35951,                 0.9556,                0.99834,                0.99936,                0.99438,                0.86303,                0.69524,                 0.2459,                0.91604,               0.008416,               0.008416,               0.008416
                     19,                0.78472,                 0.3592,                0.95595,                 0.9977,                0.99967,                0.99442,                0.86476,                0.69109,                0.24445,                0.91419,               0.008317,               0.008317,               0.008317
                     20,                0.77784,                0.35522,                0.95273,                0.99827,                0.99967,                0.99446,                0.86662,                0.68526,                0.24118,                0.91284,               0.008218,               0.008218,               0.008218
                     21,                0.77714,                0.35373,                0.95423,                0.99826,                0.99967,                0.99432,                 0.8667,                 0.6869,                0.23967,                0.91312,               0.008119,               0.008119,               0.008119
                     22,                0.77186,                0.35075,                0.95064,                0.99789,                0.99962,                0.99456,                0.86943,                0.68295,                0.23787,                0.91212,                0.00802,                0.00802,                0.00802
                     23,                0.77438,                0.35129,                0.95143,                0.99839,                0.99962,                0.99453,                0.87005,                 0.6826,                0.23709,                0.91169,               0.007921,               0.007921,               0.007921
                     24,                0.77099,                0.35019,                0.94978,                0.99784,                0.99967,                0.99455,                0.86833,                 0.6812,                0.23749,                0.91131,               0.007822,               0.007822,               0.007822
                     25,                 0.7712,                0.34726,                0.95252,                0.99815,                0.99967,                0.99444,                0.86871,                0.68211,                0.23726,                0.91129,               0.007723,               0.007723,               0.007723
                     26,                0.76124,                0.34381,                0.94791,                0.99817,                0.99952,                0.99434,                0.87024,                0.68018,                0.23524,                0.91049,               0.007624,               0.007624,               0.007624
                     27,                0.76266,                0.34215,                0.94908,                0.99823,                0.99966,                0.99447,                0.87085,                0.67865,                0.23393,                0.90982,               0.007525,               0.007525,               0.007525
                     28,                0.75889,                0.34069,                0.94778,                0.99831,                0.99947,                0.99454,                0.87029,                0.67761,                0.23232,                0.90933,               0.007426,               0.007426,               0.007426
                     29,                0.76014,                0.33897,                0.94888,                0.99814,                 0.9995,                0.99438,                0.87216,                0.67651,                0.23159,                  0.909,               0.007327,               0.007327,               0.007327
                     30,                0.76271,                0.34173,                0.94835,                0.99828,                0.99919,                0.99445,                0.87305,                0.67693,                 0.2308,                0.90877,               0.007228,               0.007228,               0.007228
                     31,                0.75618,                0.33771,                0.94667,                 0.9984,                0.99939,                0.99452,                 0.8725,                  0.676,                0.22995,                0.90839,               0.007129,               0.007129,               0.007129
                     32,                0.75766,                0.33875,                0.94655,                0.99828,                 0.9995,                0.99447,                0.87219,                0.67511,                0.22974,                0.90812,                0.00703,                0.00703,                0.00703
                     33,                0.75071,                0.33447,                0.94277,                0.99833,                0.99967,                0.99447,                0.87248,                0.67427,                0.22903,                0.90769,               0.006931,               0.006931,               0.006931
                     34,                0.74886,                 0.3303,                0.94133,                0.99832,                0.99967,                0.99446,                0.87254,                0.67322,                0.22886,                0.90723,               0.006832,               0.006832,               0.006832
                     35,                0.74703,                0.33104,                0.94208,                0.99833,                0.99965,                0.99446,                0.87314,                0.67273,                  0.228,                0.90699,               0.006733,               0.006733,               0.006733
                     36,                0.74909,                 0.3317,                0.94377,                0.99834,                0.99967,                0.99447,                0.87312,                0.67234,                 0.2276,                 0.9067,               0.006634,               0.006634,               0.006634
                     37,                0.74667,                 0.3317,                0.94194,                0.99832,                0.99967,                0.99445,                0.87388,                0.67179,                0.22745,                0.90649,               0.006535,               0.006535,               0.006535
