                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84847,                 1.2019,                0.98585,                 0.9933,                 0.9952,                0.99397,                0.83226,                0.63749,                0.49586,                0.90233,              0.0033315,              0.0033315,              0.0033315
                      2,                0.80079,                0.57203,                0.95629,                0.99312,                0.99318,                0.99336,                0.84266,                0.62708,                0.36992,                0.91432,              0.0065989,              0.0065989,              0.0065989
                      3,                0.81334,                0.50688,                0.97486,                0.98854,                0.98653,                0.99291,                0.84092,                0.63306,                0.36836,                0.92634,              0.0098002,              0.0098002,              0.0098002
                      4,                0.78395,                0.46783,                0.97219,                 0.9929,                0.99506,                 0.9942,                0.86898,                0.58733,                0.31474,                0.90855,               0.009703,               0.009703,               0.009703
                      5,                0.73252,                  0.422,                0.95309,                 0.9972,                0.99641,                0.99415,                0.87961,                0.54934,                0.27718,                0.88939,               0.009703,               0.009703,               0.009703
                      6,                0.70133,                 0.3962,                0.94305,                 0.9938,                0.99807,                0.99392,                0.88102,                0.53107,                0.26867,                0.88639,               0.009604,               0.009604,               0.009604
                      7,                0.68131,                 0.3803,                0.93353,                0.99668,                0.99648,                0.99417,                0.89471,                0.51926,                0.25029,                0.87893,               0.009505,               0.009505,               0.009505
                      8,                0.66935,                0.36885,                0.92893,                0.99778,                0.99839,                0.99424,                0.89779,                0.50299,                0.24066,                0.87246,               0.009406,               0.009406,               0.009406
                      9,                0.66098,                0.36053,                0.92773,                0.99676,                0.99818,                0.99443,                0.90188,                0.49249,                0.23044,                0.86891,               0.009307,               0.009307,               0.009307
                     10,                0.64828,                0.35148,                0.92247,                0.99733,                0.99885,                0.99419,                0.89999,                0.49152,                0.22773,                0.86955,               0.009208,               0.009208,               0.009208
                     11,                0.63581,                0.34328,                0.91713,                0.99796,                0.99858,                 0.9943,                0.90555,                0.48191,                  0.218,                0.86641,               0.009109,               0.009109,               0.009109
                     12,                0.63206,                0.34007,                0.91631,                 0.9978,                0.99858,                0.99416,                0.90534,                0.47185,                0.21538,                0.86089,                0.00901,                0.00901,                0.00901
                     13,                0.62424,                0.33573,                0.91233,                0.99783,                0.99916,                0.99424,                0.90639,                0.47045,                0.21108,                0.86133,               0.008911,               0.008911,               0.008911
                     14,                0.61853,                0.32964,                0.91106,                0.99786,                0.99916,                0.99425,                0.91094,                0.46454,                0.20634,                0.85994,               0.008812,               0.008812,               0.008812
                     15,                0.61414,                  0.327,                0.91037,                0.99804,                0.99899,                0.99419,                0.91083,                0.46092,                0.20237,                0.85926,               0.008713,               0.008713,               0.008713
                     16,                0.61023,                0.32212,                0.90931,                0.99841,                0.99915,                0.99441,                0.91327,                0.45474,                0.20042,                0.85571,               0.008614,               0.008614,               0.008614
                     17,                0.60731,                0.32181,                0.90766,                 0.9982,                 0.9993,                0.99421,                 0.9151,                0.45195,                0.19665,                0.85541,               0.008515,               0.008515,               0.008515
                     18,                0.60528,                0.31936,                0.90621,                0.99832,                0.99887,                0.99423,                0.91388,                0.45382,                0.19514,                0.85535,               0.008416,               0.008416,               0.008416
                     19,                0.60164,                0.31503,                0.90709,                0.99827,                0.99933,                0.99426,                0.91475,                0.44912,                0.19162,                0.85389,               0.008317,               0.008317,               0.008317
                     20,                0.59626,                0.31201,                0.90284,                0.99833,                0.99883,                0.99421,                0.91701,                0.44717,                0.19138,                0.85296,               0.008218,               0.008218,               0.008218
                     21,                0.59391,                0.31197,                0.90399,                0.99826,                  0.999,                0.99424,                0.91553,                0.44514,                0.19107,                0.85206,               0.008119,               0.008119,               0.008119
                     22,                 0.5906,                0.30844,                 0.9016,                0.99822,                  0.999,                0.99431,                0.91764,                0.44163,                0.18772,                0.85113,                0.00802,                0.00802,                0.00802
                     23,                0.59226,                0.30903,                0.90218,                0.99833,                 0.9989,                0.99425,                0.91865,                0.44036,                0.18561,                0.85074,               0.007921,               0.007921,               0.007921
                     24,                0.59063,                0.30715,                0.90177,                0.99841,                0.99916,                0.99428,                0.91841,                0.43972,                 0.1844,                  0.851,               0.007822,               0.007822,               0.007822
                     25,                0.58406,                 0.3043,                0.89914,                0.99839,                 0.9991,                0.99426,                0.91871,                0.43862,                0.18399,                0.85068,               0.007723,               0.007723,               0.007723
                     26,                0.58402,                 0.3017,                0.90087,                0.99843,                0.99883,                0.99416,                0.91784,                0.43822,                0.18291,                0.85011,               0.007624,               0.007624,               0.007624
                     27,                0.57934,                 0.2986,                0.89631,                0.99846,                0.99883,                0.99421,                0.91939,                0.43746,                0.18165,                0.84975,               0.007525,               0.007525,               0.007525
                     28,                0.57876,                0.29801,                0.89771,                 0.9982,                0.99916,                0.99415,                0.91931,                0.43628,                0.18055,                0.84939,               0.007426,               0.007426,               0.007426
                     29,                0.57731,                0.29703,                0.89919,                0.99833,                  0.999,                0.99417,                0.91898,                 0.4355,                0.17919,                0.84896,               0.007327,               0.007327,               0.007327
                     30,                0.57492,                0.29452,                0.89803,                0.99828,                0.99908,                0.99408,                0.92064,                0.43527,                0.17851,                0.84912,               0.007228,               0.007228,               0.007228
                     31,                0.57389,                0.29594,                0.89568,                0.99825,                0.99916,                0.99422,                0.92005,                0.43434,                0.17804,                0.84898,               0.007129,               0.007129,               0.007129
                     32,                0.57089,                0.29298,                0.89502,                0.99828,                0.99916,                0.99416,                0.92049,                0.43322,                0.17739,                0.84877,                0.00703,                0.00703,                0.00703
                     33,                0.57037,                0.29416,                 0.8954,                0.99827,                0.99916,                0.99421,                0.92032,                0.43223,                0.17716,                0.84844,               0.006931,               0.006931,               0.006931
