                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94468,                0.63981,                 1.0019,                0.99907,                0.99926,                0.99499,                0.81045,                0.84783,                0.35527,                0.96054,              0.0033315,              0.0033315,              0.0033315
                      2,                0.93586,                 0.4675,                 0.9988,                 0.9974,                0.99764,                0.99499,                0.80771,                0.85325,                0.35613,                0.96363,              0.0066099,              0.0066099,              0.0066099
                      3,                0.95322,                0.48421,                  1.015,                0.98744,                0.99594,                0.99405,                0.79924,                0.86896,                0.38866,                0.98195,              0.0098332,              0.0098332,              0.0098332
                      4,                0.94638,                0.47206,                 1.0127,                0.99898,                 0.9975,                0.99491,                0.81875,                0.83064,                0.34054,                0.96084,              0.0097525,              0.0097525,              0.0097525
                      5,                0.91533,                0.43493,                0.99728,                0.99773,                0.99851,                0.99499,                0.81835,                0.82616,                0.32804,                0.95262,              0.0097525,              0.0097525,              0.0097525
                      6,                0.90492,                0.42102,                0.99128,                0.99832,                0.99788,                  0.995,                0.81992,                0.82331,                0.30839,                0.95206,                0.00967,                0.00967,                0.00967
                      7,                0.88671,                  0.403,                0.98179,                0.99876,                0.99845,                  0.995,                0.83397,                0.81451,                0.29551,                0.94591,              0.0095875,              0.0095875,              0.0095875
                      8,                0.87577,                0.39416,                0.97837,                0.99917,                 0.9983,                0.99492,                0.83329,                0.80579,                0.29481,                0.94149,               0.009505,               0.009505,               0.009505
                      9,                0.87034,                0.38656,                0.97357,                0.99948,                0.99958,                  0.995,                0.83878,                0.80116,                0.28116,                0.93933,              0.0094225,              0.0094225,              0.0094225
                     10,                0.87182,                0.38258,                 0.9738,                0.99849,                0.99958,                  0.995,                0.83853,                0.79888,                0.27593,                0.93672,                0.00934,                0.00934,                0.00934
                     11,                 0.8623,                0.37628,                0.97159,                 0.9985,                0.99958,                  0.995,                0.84058,                0.79538,                0.27012,                0.93835,              0.0092575,              0.0092575,              0.0092575
                     12,                0.86037,                0.37076,                0.97179,                0.99958,                      1,                  0.995,                0.84274,                0.79188,                0.26904,                0.93581,               0.009175,               0.009175,               0.009175
                     13,                0.85405,                0.36765,                0.96772,                 0.9997,                0.99958,                  0.995,                0.84426,                0.78788,                 0.2668,                0.93514,              0.0090925,              0.0090925,              0.0090925
                     14,                0.85206,                0.36433,                0.96712,                0.99957,                0.99988,                  0.995,                0.84439,                0.78502,                0.26091,                0.93289,                0.00901,                0.00901,                0.00901
                     15,                0.85069,                0.36204,                 0.9651,                 0.9992,                0.99958,                  0.995,                 0.8456,                0.78182,                0.25531,                0.93402,              0.0089275,              0.0089275,              0.0089275
                     16,                0.84978,                0.35967,                 0.9704,                0.99978,                      1,                  0.995,                0.84586,                0.78213,                 0.2565,                0.93563,               0.008845,               0.008845,               0.008845
                     17,                0.84557,                0.35483,                0.96752,                0.99974,                0.99997,                  0.995,                0.84804,                0.77819,                0.24973,                0.93205,              0.0087625,              0.0087625,              0.0087625
                     18,                0.84276,                0.35219,                0.96416,                0.99985,                      1,                  0.995,                0.84807,                0.77935,                0.25019,                0.92897,                0.00868,                0.00868,                0.00868
                     19,                0.84233,                0.35191,                0.96769,                0.99969,                      1,                  0.995,                0.84677,                0.77828,                0.24789,                0.93519,              0.0085975,              0.0085975,              0.0085975
                     20,                0.84203,                0.35015,                0.96411,                0.99962,                      1,                  0.995,                0.84844,                0.77721,                0.24651,                0.93149,               0.008515,               0.008515,               0.008515
                     21,                0.83815,                 0.3488,                0.96803,                0.99978,                      1,                  0.995,                0.84924,                0.77628,                0.24592,                0.93495,              0.0084325,              0.0084325,              0.0084325
                     22,                0.84087,                0.34845,                0.96701,                0.99965,                0.99983,                  0.995,                0.84768,                0.77502,                0.24481,                0.93285,                0.00835,                0.00835,                0.00835
                     23,                0.83748,                0.34659,                0.96398,                0.99978,                      1,                  0.995,                0.84985,                0.77256,                0.24152,                0.93173,              0.0082675,              0.0082675,              0.0082675
                     24,                0.83642,                0.34414,                0.96467,                0.99976,                      1,                  0.995,                0.85022,                0.77297,                0.24137,                0.93151,               0.008185,               0.008185,               0.008185
                     25,                  0.833,                0.34278,                 0.9602,                0.99969,                      1,                  0.995,                0.85048,                0.77237,                0.24028,                0.92887,              0.0081025,              0.0081025,              0.0081025
                     26,                0.83001,                0.34187,                0.96067,                0.99978,                      1,                  0.995,                0.85176,                0.77209,                0.23899,                0.92898,                0.00802,                0.00802,                0.00802
                     27,                 0.8307,                 0.3395,                0.95986,                0.99997,                      1,                  0.995,                0.85051,                0.77273,                0.23826,                0.92893,              0.0079375,              0.0079375,              0.0079375
                     28,                0.83452,                0.34142,                0.96051,                0.99976,                      1,                  0.995,                0.85134,                 0.7726,                0.23776,                0.92797,               0.007855,               0.007855,               0.007855
                     29,                0.82814,                 0.3402,                0.96215,                0.99997,                      1,                  0.995,                 0.8519,                0.77192,                0.23726,                0.92841,              0.0077725,              0.0077725,              0.0077725
                     30,                0.82747,                0.33791,                0.96454,                0.99994,                      1,                  0.995,                0.85172,                0.77229,                0.23687,                0.92978,                0.00769,                0.00769,                0.00769
                     31,                0.82938,                0.33706,                0.96363,                0.99993,                      1,                  0.995,                0.85171,                0.77181,                0.23665,                0.93044,              0.0076075,              0.0076075,              0.0076075
                     32,                0.82545,                 0.3382,                0.96358,                0.99992,                      1,                  0.995,                0.85187,                0.77147,                0.23637,                0.93085,               0.007525,               0.007525,               0.007525
                     33,                0.82445,                0.33351,                0.96238,                0.99993,                      1,                  0.995,                0.85227,                0.77103,                0.23545,                0.93071,              0.0074425,              0.0074425,              0.0074425
                     34,                0.82591,                0.33311,                0.96176,                0.99991,                      1,                  0.995,                 0.8518,                 0.7707,                 0.2354,                0.93056,                0.00736,                0.00736,                0.00736
                     35,                0.82467,                0.33382,                0.96344,                0.99989,                      1,                  0.995,                0.85213,                0.77032,                0.23486,                0.93058,              0.0072775,              0.0072775,              0.0072775
                     36,                0.82466,                0.33371,                0.96077,                 0.9999,                      1,                  0.995,                0.85235,                0.77006,                0.23465,                0.93055,               0.007195,               0.007195,               0.007195
                     37,                0.82421,                0.33164,                0.95989,                 0.9999,                      1,                  0.995,                0.85266,                0.76983,                0.23437,                0.93043,              0.0071125,              0.0071125,              0.0071125
                     38,                0.82523,                0.33203,                0.96163,                0.99988,                      1,                  0.995,                0.85226,                0.76974,                0.23428,                0.93037,                0.00703,                0.00703,                0.00703
                     39,                0.81906,                 0.3283,                0.95985,                0.99988,                      1,                  0.995,                0.85183,                0.76952,                0.23397,                0.93034,              0.0069475,              0.0069475,              0.0069475
                     40,                0.81968,                0.32984,                0.96164,                 0.9999,                      1,                  0.995,                0.85149,                0.76929,                 0.2336,                 0.9301,               0.006865,               0.006865,               0.006865
