                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98898,                 1.2105,                0.99775,                0.99728,                  0.996,                0.99366,                0.72892,                 1.0087,                0.56793,                 1.0029,              0.0033294,              0.0033294,              0.0033294
                      2,                0.97637,                0.56166,                0.99708,                0.99629,                0.99077,                0.99436,                0.80383,                0.87902,                 0.3806,                0.97517,              0.0065967,              0.0065967,              0.0065967
                      3,                0.98179,                0.50883,                 1.0132,                0.98589,                0.96686,                0.98652,                0.78014,                0.90567,                0.43643,                0.98844,              0.0097981,              0.0097981,              0.0097981
                      4,                0.97007,                0.48319,                 1.0127,                0.98338,                 0.9649,                0.99265,                 0.7827,                0.89973,                 0.3988,                0.98596,               0.009703,               0.009703,               0.009703
                      5,                0.94383,                0.44562,                 1.0012,                0.99489,                 0.9792,                 0.9931,                 0.8013,                0.88324,                0.36292,                0.97852,               0.009703,               0.009703,               0.009703
                      6,                0.92649,                0.42664,                0.99258,                0.99738,                0.99582,                0.99453,                0.81002,                0.86948,                0.32835,                0.96911,               0.009604,               0.009604,               0.009604
                      7,                0.91763,                0.41515,                0.98952,                0.99189,                0.99126,                0.99449,                  0.815,                0.85441,                0.32698,                0.96234,               0.009505,               0.009505,               0.009505
                      8,                0.91169,                0.40417,                0.98484,                0.99917,                0.99698,                0.99451,                 0.8014,                0.87348,                 0.3207,                0.96696,               0.009406,               0.009406,               0.009406
                      9,                 0.9014,                0.39497,                0.98058,                0.99871,                0.99612,                0.99459,                0.80843,                0.86949,                 0.3077,                0.96261,               0.009307,               0.009307,               0.009307
                     10,                0.89613,                0.38824,                0.97786,                0.99868,                0.99679,                 0.9945,                0.82258,                 0.8391,                0.30065,                 0.9531,               0.009208,               0.009208,               0.009208
                     11,                0.89117,                  0.384,                0.97408,                0.99827,                0.99715,                0.99453,                0.82197,                0.84317,                0.28935,                0.95328,               0.009109,               0.009109,               0.009109
