                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9639,                0.59643,                 1.0194,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00055551,             0.00055551,             0.00055551
                      2,                0.92884,                0.41968,                 1.0023,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010012,              0.0010012,              0.0010012
                      3,                0.90344,                0.39416,                0.99306,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0013368,              0.0013368,              0.0013368
                      4,                0.88104,                0.37222,                 0.9813,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                      5,                0.86898,                0.35903,                0.97663,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                      6,                0.85131,                 0.3388,                0.96703,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                      7,                0.83828,                 0.3264,                0.96095,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                      8,                0.82729,                0.31347,                0.95732,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                      9,                0.81615,                0.29957,                0.95558,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     10,                0.80262,                 0.2867,                0.94758,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
